split,case_id,case_name,case_type,class_action_sought,num_source_docs,raw_word_count,summary_clean_word_count,modeling_clean_word_count
train,EE-LA-0021,EEOC v. Dupont,Equal Employment,No,10,33968,33900,33900
train,PC-PA-0036,Reese v. Global Tel*Link Corporation,Prison Conditions,Yes,5,29229,28749,28747
train,EE-TX-0248,EEOC v. Neatherlin Homes,Equal Employment,No,3,3349,3267,3270
train,EE-NV-0028,EEOC v. CAESARS ENTERTAINMENT INC,Equal Employment,No,5,12598,12424,12431
train,EE-NY-0144,"EEOC v. Rappaport, Hertz, Cherson & Rosenthal, P.C.",Equal Employment,No,4,10586,10316,10322
train,PC-NM-0006,Kinslow v. New Mexico Corrections Dept.,Prison Conditions,No,12,27168,26369,26547
train,EE-GA-0046,"EEOC v. INTOWN SUITES MANAGEMENT, INC.",Equal Employment,No,11,24888,24888,24893
train,CJ-KY-0001,Bowling v. Haas,Criminal Justice (Other),No,9,25923,25349,25370
train,PC-TX-0012,Hall v. Thomas,Prison Conditions,No,9,110179,107707,107184
train,PC-MI-0032,Miller v. Stewart [Brewer],Prison Conditions,No,5,12799,12595,12594
train,EE-CA-0097,EEOC v. HAMMON PLATING,Equal Employment,No,4,5782,5632,5647
train,EE-SC-0052,EEOC v. West Roofing Systems-Georgia,Equal Employment,No,3,3952,3896,3896
train,PC-AZ-0018,Parsons v. Ryan,Prison Conditions,Yes,63,958551,936123,938136
train,IM-CA-0083,Vayeghan v. Kelly,Immigration and/or the Border ,No,4,6154,5994,5993
train,EE-NC-0059,EEOC v. L & L WINGS,Equal Employment,No,5,3664,3520,3525
train,EE-CT-0004,"EEOC v. Benni's, LLC (d/b/a Bennigan's)",Equal Employment,No,5,14888,14468,14477
train,CJ-MS-0003,Burks v. Scott County,Criminal Justice (Other),Yes,7,26207,25117,25121
train,EE-MD-0108,EEOC v. SHREE LALAJI LLC (t/a BEST WESTERN SALISBURY PLAZA),Equal Employment,No,3,2605,2531,2534
train,EE-OH-0072,"EEOC v. THE ESAB GROUP, INC. (d/b/a ESAB WELDING & CUTTING)",Equal Employment,No,6,13054,13054,13064
train,EE-AL-0032,EEOC v. FAROOQI ENTERPRISES,Equal Employment,No,5,6168,5898,5889
train,PR-DC-0008,Cockrum v. Donald J. Trump for President,Presidential/Gubernatorial Authority,No,3,39017,37977,37977
train,EE-NJ-0117,Hawk v. Abercrombie & Fitch Co.,Equal Employment,No,2,4819,4819,4823
train,EE-NC-0029,EEOC v. DOLLAR GENERAL CORPORATION,Equal Employment,No,6,13759,13699,13717
train,EE-MD-0025,EEOC v. Denny's,Equal Employment,No,7,20985,20505,20503
train,ED-MS-0002,A.M. v. Jackson Public Schools Board of Trustees,Education,Yes,6,17019,16829,16829
train,JC-DC-0002,Inmates of D.C. Jail v. Jackson,Jail Conditions,Yes,27,135319,135167,135137
train,NS-FL-0002,American Civil Liberties Union of Florida v. U.S. Department of Homeland Security,National Security,No,8,12126,11892,11878
train,CJ-TX-0014,Booth v. Galveston County,Criminal Justice (Other),Yes,6,63381,62265,62273
train,JC-IL-0009,Young v. County of Cook,Jail Conditions,Yes,21,155045,152821,152880
train,EE-CA-0174,"EEOC v. Prima Frutta Packing, Inc., J. Jesus Gonzalez Labor Contract",Equal Employment,No,5,6365,6265,6272
train,IM-CA-0160,Castillo v. Barr,Immigration and/or the Border ,No,4,49459,48315,48318
train,EE-IL-0252,EEOC v. WEBSTER TEMPORARY SERVICES INC,Equal Employment,No,5,4557,4541,4546
train,CW-MO-0001,G.L. v. Sherman,Child Welfare,Yes,8,90536,90516,90521
train,JI-KY-0002,Doe v. Younger,Juvenile Institution,Yes,11,43845,43549,43559
train,EE-AR-0023,EEOC v. HARDEE'S OF SOUTHWEST MISSOURI INC,Equal Employment,No,3,3008,2868,2879
train,EE-OH-0030,EEOC v. FORD MOTOR COMPANY,Equal Employment,Yes,10,23611,22927,22938
train,FA-PA-0004,Persico v. Sebelius,Speech and Religious Freedom,No,3,32525,31905,31903
train,JC-CA-0022,"Flick v. San Francisco, California",Jail Conditions,No,3,17800,17650,17657
train,EE-LA-0056,"EEOC v. Lowe's Home Centers, Inc.",Equal Employment,No,4,4062,4062,4064
train,PN-NY-0021,Datz v. Suffolk County,Policing,No,3,14056,13580,13583
train,IM-MD-0009,CASA de Maryland v. Trump,Immigration and/or the Border ,No,3,24203,23483,23485
train,FA-MO-0010,Randy Reed Automotive v. Sebelius,Speech and Religious Freedom,No,6,11189,10839,10836
train,EE-AR-0033,"EEOC v. MCKNIGHT PLYWOOD, INC.",Equal Employment,No,4,2993,2981,2987
train,EE-AR-0001,"EEOC v. A. TENENBAUM COMPANY, INC.",Equal Employment,No,3,3408,3408,3423
train,MH-VT-0003,U.S. v. Vermont,Mental Health (Facility),No,6,23745,23695,23695
train,FH-CA-0025,Independent Living Center v. City of Los Angeles,Fair Housing/Lending/Insurance,No,19,226851,220691,220805
train,EE-MS-0060,"BELUE v. WAYNE FARMS, LLC",Equal Employment,Yes,23,43580,42423,42430
train,EE-NV-0041,EEOC v. U-HAUL CO OF NEVADA INC,Equal Employment,No,3,6243,6103,6115
train,EE-FL-0095,"EEOC v. PIZZA HUT OF AMERICA, INC.",Equal Employment,No,3,2100,2044,2046
train,IM-MD-0014,Casa de Maryland v. Trump,Immigration and/or the Border ,No,6,97358,95628,95615
train,EE-IL-0131,EEOC v. JOE HOTZE FORD INC,Equal Employment,No,3,5614,5614,5615
train,NS-CA-0020,Raimondo v. Federal Bureau of Investigation,National Security,No,11,62328,61048,61119
train,EE-NY-0211,Bellifemine v. Sanofi-Aventis U.S. LLC,Equal Employment,Yes,9,55967,55155,55161
train,PC-WA-0024,Teamsters Local Union No. 117 v. Washington State Department of Corrections,Prison Conditions,No,5,20867,20643,20635
train,PC-CO-0020,Vega v. Davis,Prison Conditions,No,6,33624,32664,32665
train,EE-IN-0088,"EEOC v. Protis Executive Innovations, Inc.",Equal Employment,No,5,5620,5620,5619
train,EE-KY-0013,EEOC v. KECO INDUSTRIES INC,Equal Employment,No,3,3121,2999,2999
train,IM-MO-0003,Arapi v. U.S. Citizenship and Immigration Services,Immigration and/or the Border ,No,9,28632,28632,28639
train,EE-FL-0163,United States v. Consolidated City of Jacksonville,Equal Employment,Yes,5,55785,54369,54257
train,JI-IL-0005,"T.S. v. Twentieth Century Fox Television, Inc.",Juvenile Institution,Yes,8,111976,110892,110888
train,ED-MI-0006,Gary B. v. Snyder,Education,Yes,5,85218,84978,84987
train,MH-DC-0005,Costa v. Bazron,Mental Health (Facility),Yes,11,123960,118674,118638
train,PC-TN-0015,Graham v. Parker,Prison Conditions,Yes,8,62726,61188,61177
train,FA-CO-0002,Colorado Christian University v. Sebelius,Speech and Religious Freedom,No,9,30087,29257,29242
train,JC-NY-0010,U.S. v. Nassau County Sheriff's Dept.,Jail Conditions,No,5,13196,12970,12970
train,PC-TX-0017,Ali v. Thaler,Prison Conditions,No,15,85991,84431,84464
train,PC-DC-0002,Garnes v. District of Columbia,Prison Conditions,Yes,4,7232,7208,7221
train,PC-KS-0007,Huff v. CoreCivic,Prison Conditions,Yes,7,37931,36941,36927
train,IM-AZ-0019,Arizona Dream Act Coalition v. Brewer,Immigration and/or the Border ,No,17,166508,164804,164712
train,EE-NY-0210,Velez v. Novartis Pharmaceuticals Corporation,Equal Employment,Yes,13,148414,144984,144814
train,IM-TX-0054,Amezcua v. Garcia,Immigration and/or the Border ,No,4,46257,45357,45225
train,FA-MI-0016,Waechter v. City of Saugatuck,Speech and Religious Freedom,No,4,5969,5837,5852
train,EE-NC-0053,EEOC v. HR AMERICA INC,Equal Employment,No,3,4156,4156,4161
train,EE-NM-0005,EEOC v. LLC RESTAURANT CONCEPTS II (d/b/a APPLEBEE'S NEIGHBORHOOD BAR & GRILL),Equal Employment,No,3,6076,6076,6081
train,PN-MO-0002,United States v. City of Ferguson,Policing,No,41,428865,428861,428631
train,PC-FL-0024,Copeland v. Jones,Prison Conditions,Yes,6,37535,36385,36385
train,IM-LA-0014,"Krishnakutty v. Signal International, LLC",Immigration and/or the Border ,No,13,120854,119644,119644
train,EE-LA-0073,EEOC v. K&B LOUISIANA CORPORATION (d/b/a RITE AID),Equal Employment,No,14,30987,30555,30554
train,PB-UT-0001,Kitchen v. Herbert,Public Benefits / Government Services,No,14,119043,118713,118551
train,CJ-AL-0003,Gooden v. Worley,Criminal Justice (Other),No,5,33943,33911,33932
train,VR-MS-0147,Young v. Hosemann,Election/Voting Rights,No,6,21053,20543,20543
train,NS-CA-0006,Shubert v. Obama,National Security,Yes,17,112979,112659,112636
train,EE-PA-0086,EEOC v. HCR MANOR CARE HEALTH SERVICES AT YARDLEY,Equal Employment,No,3,3440,3440,3440
train,IM-DC-0042,Electronic Privacy Information Center v. U.S. Immigration & Customs Enforcement,Immigration and/or the Border ,No,2,4895,4785,4786
train,EE-NY-0296,Franklin v. Whole Foods,Equal Employment,Yes,2,6402,6222,6232
train,EE-AK-0004,EEOC v. PROVIDENCE HEALTH SYSTEM,Equal Employment,No,4,7448,7238,7227
train,EE-WI-0044,"EEOC v. SPECIALTY CARE SERVICES, d/b/a WEST PARK PLACE",Equal Employment,No,3,2351,2351,2351
train,JC-CA-0127,Avitia v. U.S. Immigration and Customs Enforcement,Jail Conditions,No,2,8061,7881,7882
train,PC-WA-0003,Duffy v. Riveland,Prison Conditions,Yes,17,60913,60637,60637
train,PB-UT-0003,Roe v. Patton,Public Benefits / Government Services,No,5,6851,6671,6677
train,EE-PR-0007,EEOC v. MOKA SHOE CORPORATION,Equal Employment,No,3,4406,4346,4350
train,DR-NY-0012,Center for Independence of the Disabled v. Metropolitan Transportation Authority,Disability Rights-Pub. Accom.,Yes,7,49706,48546,48487
train,EE-AR-0024,"EEOC v. HARGIS-CALDWELL PARTNERS, LLC DBA HUDDLE HOUSE OF CLINTON",Equal Employment,No,4,4321,4281,4310
train,EE-TX-0391,EEOC v. US CONTRACTORS INC,Equal Employment,No,4,2255,2249,2253
train,PB-CA-0035,Smelt v. United States,Public Benefits / Government Services,No,17,59485,59279,59002
train,FA-MO-0012,Roman Catholic Archdiocese of St. Louis v. Burwell,Speech and Religious Freedom,No,4,28856,28856,28843
train,EE-PA-0051,EEOC v. CREATIVE PLAYTHINGS LTD,Equal Employment,No,4,14656,14656,14654
train,PC-VT-0001,Goldsmith v. Dean,Prison Conditions,Yes,5,25949,25801,25811
train,IM-CA-0176,Alcantara v. Archambeault,Immigration and/or the Border ,Yes,12,33953,32963,32953
train,EE-FL-0078,EEOC v. MEDICAL CENTER GROUP,Equal Employment,No,3,4156,3996,3999
train,FA-MI-0003,Satawa v. Macomb County Road Commission,Speech and Religious Freedom,No,11,46872,46872,46862
train,ED-MI-0004,Tooley v. Van Buren Public Schools,Education,No,6,38368,38122,38141
train,JC-FL-0023,H.C. v. Bradshaw,Jail Conditions,Yes,8,68337,66909,66949
train,EE-NJ-0030,EEOC v. FAST BOLT CORP.,Equal Employment,No,4,6956,6716,6721
train,ID-AR-0003,U.S. v. Arkansas,Intellectual Disability (Facility),No,5,9215,9115,9124
train,EE-NC-0050,"EEOC v. HENREDON FURNITURE INDUSTRIES, INC.",Equal Employment,No,3,5443,5313,5315
train,NS-CA-0025,American Civil Liberties Union of San Diego v. U.S. Department of Homeland Security,National Security,No,7,44385,42957,42938
train,PC-MA-0052,Doe v. Massachusetts Department of Corrections,Prison Conditions,No,4,15096,14726,14725
train,FH-CA-0028,Oakland v. Wells Fargo,Fair Housing/Lending/Insurance,No,5,51978,51168,51180
train,EE-NY-0073,EEOC v. THE HOME DEPOT,Equal Employment,No,5,10567,10065,10122
train,EE-GA-0040,EEOC v. HOME IMPROVEMENT FINANCIAL,Equal Employment,No,4,5223,5104,5108
train,IM-NY-0058,Abdi v. Duke [later Nielsen],Immigration and/or the Border ,Yes,8,64106,62216,62233
train,JC-GA-0011,U.S. v. Dooly County,Jail Conditions,No,10,24985,24969,24969
train,FA-IN-0003,Grace Schools v. Sebelius,Speech and Religious Freedom,No,19,165300,160380,160500
train,FA-NY-0004,American Freedom Defense Initiative v. MTA,Speech and Religious Freedom,No,7,26540,25790,25796
train,EE-FL-0125,"Hugo J. Villalobos v. Gulfstream Academy of Aeronautics, Inc",Equal Employment,No,2,2489,2489,2488
train,EE-WA-0044,EEOC v. Les Schwab Tire Centers,Equal Employment,Yes,23,74844,73318,73330
train,EE-DC-0022,"EEOC v. Triad Tax Services, Inc.",Equal Employment,No,3,2862,2862,2868
train,PC-FL-0026,Hoffer v. Inch,Prison Conditions,Yes,9,88376,86228,86216
train,EE-TX-0350,"EEOC v. TCIM SERVICES, INC.",Equal Employment,No,6,6720,6490,6490
train,IM-DC-0056,TheHuffingtonPost.com v. U.S. Immigration and Customs Enforcement,Immigration and/or the Border ,No,2,2849,2759,2761
train,EE-NY-0085,EEOC v. JOHN HARVARD'S BREW HOUSE LLC,Equal Employment,No,6,6461,6257,6261
train,PB-OR-0004,Geiger v. Kitzhaber,Public Benefits / Government Services,No,11,39460,38512,38469
train,VR-NC-0085,Democracy NC v. NC BOE,Election/Voting Rights,No,27,375698,359748,360048
train,EE-TX-0401,EEOC v. W-INDUSTRIES LIMITED LP,Equal Employment,No,4,5111,5111,5113
train,IM-CA-0107,Immigrant Legal Resource Center v. U.S. Department of Homeland Security,Immigration and/or the Border ,No,2,13206,12952,12953
train,EE-MI-0167,EEOC v. Nabi,Equal Employment,No,3,3287,3287,3293
train,ED-WI-0001,Jamie S. v. Milwaukee Public Schools,Education,Yes,28,170337,168782,168810
train,MH-KS-0001,Baker v. DesLauriers,Mental Health (Facility),Yes,7,163817,160247,160286
train,EE-IL-0122,EEOC v. Integrity Financial Services,Equal Employment,No,3,5016,4846,4847
train,NS-WA-0004,ACLU of Washington v. U.S. Department of Homeland Security,National Security,No,4,15014,14624,14624
train,EE-MI-0106,EEOC v. LABORERS' INTERNATIONAL UNION OF NORTH AMERICA LOCAL NO. 465,Equal Employment,No,4,5251,5251,5248
train,IM-TX-0024,Ordoñez Orosco v. Chertoff,Immigration and/or the Border ,Yes,5,44415,44325,44315
train,EE-AZ-0031,EEOC v. Collegeville/Imagineering,Equal Employment,No,6,21356,21356,21369
train,EE-NV-0007,EEOC v. K-T CONTRACT SERVICES INC,Equal Employment,No,3,6901,6763,6764
train,IM-TN-0003,Ramos−Macario v. Jones,Immigration and/or the Border ,Yes,5,20932,20542,20544
train,PN-DC-0009,S.H. v. District of Columbia,Policing,No,5,36192,35082,35084
train,FA-IL-0006,Korte v. United States Department of Health and Human Services,Speech and Religious Freedom,No,9,63618,63396,63436
train,EE-FL-0042,"EEOC v. Dollar Thrifty Automotive Group, Inc.",Equal Employment,No,4,7273,7273,7279
train,PB-MT-0002,Rolando v. Fox,Public Benefits / Government Services,No,3,13877,13697,13696
train,EE-IN-0038,"EEOC v. EBY-Brown Company, LLC",Equal Employment,No,6,10788,10788,10787
train,FH-MO-0003,U.S. v. Midwest Bankcentre,Fair Housing/Lending/Insurance,No,3,10303,10303,10307
train,JI-PR-0004,United States v. Puerto Rico,Juvenile Institution,No,65,1143211,1112111,1112074
train,IM-CA-0152,Doe v. McAleenan,Immigration and/or the Border ,Yes,5,30620,29830,29842
train,EE-TN-0085,"EEOC v. NORTHWEST AIRLINES, INC.",Equal Employment,No,9,18862,18626,18636
train,EE-MD-0077,EEOC v. MARYLAND CLASSIFIED EMPLOYEES ASSOCIATION INC,Equal Employment,No,4,5298,5136,5132
train,JC-CA-0046,Pierce v. Orange County,Jail Conditions,Yes,27,170472,166485,166490
train,DR-CO-0020,Colorado Cross-Disability Coalition v. Abercrombie & Fitch,Disability Rights-Pub. Accom.,Yes,24,109681,107901,107905
train,EE-NV-0042,"EEOC v. VALENTINO LAS VEGAS, LLC",Equal Employment,No,5,8899,8606,8641
train,EE-IL-0047,EEOC v. CHRIST HOSPITAL & MEDICAL CENTER,Equal Employment,No,3,4472,4456,4451
train,PC-WY-0008,Blanchard v. Wyoming Department of Corrections,Prison Conditions,Yes,9,52606,51159,51179
train,EE-LA-0054,"EEOC v. LOUISIANA GUEST HOUSE, INC.",Equal Employment,No,4,3743,3743,3745
train,PB-IN-0005,Baskin v. Bogan,Public Benefits / Government Services,No,9,53083,51983,52048
train,EE-AL-0059,EEOC v. NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,Equal Employment,No,3,1707,1647,1650
train,PB-AL-0018,Alabama v. United States Dep't of Commerce,Public Benefits / Government Services,No,4,31112,30472,30483
train,PC-CO-0022,Decoteau v. Raemisch,Prison Conditions,Yes,6,42598,41452,41454
train,EE-MO-0032,EEOC v. FORT OSAGE R-I SCHOOL DISTRICT,Equal Employment,No,4,6546,6546,6551
train,IM-NY-0067,P.L v. U.S. Immigration and Customs Enforcement,Immigration and/or the Border ,Yes,3,25872,25796,25797
train,EE-GA-0021,EEOC v. Cable Communications,Equal Employment,No,5,7426,7200,7200
train,PC-VA-0026,Whorley v. Northam,Prison Conditions,No,5,27162,26522,26517
train,PB-MI-0018,Hatcher v. Genesee County,Public Benefits / Government Services,No,2,14311,14083,14085
train,JC-DC-0012,Beale v. District of Columbia,Jail Conditions,No,5,25945,25495,25471
train,EE-TX-0431,United States of Ameica v. Weimar Independent School District,Equal Employment,No,4,4208,4208,4206
train,EE-NY-0299,Millien v Madison Square Garden Co.,Equal Employment,Yes,7,49297,48127,48098
train,PN-WA-0007,Hunters Capital v. Seattle,Policing,Yes,6,86817,84477,84361
train,PD-TX-0003,Stone v. Tom Green County,Indigent Defense,No,2,4567,4447,4446
train,EE-MD-0015,"EEOC v. BOUZIANIS, INC. d/b/a DOUBLE T DINER",Equal Employment,No,5,7882,7818,7820
train,PC-IL-0050,Money v. Pritzker,Prison Conditions,Yes,13,222572,220104,220063
train,FA-MO-0006,O'Brien v. HHS,Speech and Religious Freedom,No,10,36509,36509,36543
train,EE-AZ-0050,"EEOC v. GLC RESTAURANTS, INC. DBA MCDONALDS",Equal Employment,No,6,31386,31378,31385
train,EE-NH-0007,EEOC v. THE SALVATION ARMY,Equal Employment,No,4,5504,5504,5510
train,EE-IL-0137,EEOC v. K-B Television And Appliance Co.,Equal Employment,No,3,3143,3143,3144
train,CJ-AL-0022,Schultz v. Alabama,Criminal Justice (Other),Yes,10,76380,74380,74375
train,EE-TX-0369,EEOC v. TRANSIT MIX CONCRETE,Equal Employment,No,4,4210,4210,4219
train,EE-AZ-0137,Hendrix v. Chipotle Mexican Grill Incorporated,Equal Employment,Yes,3,4530,4370,4368
train,VR-MI-0079,Priorities USA v. Nessel,Election/Voting Rights,No,27,185943,181053,181106
train,PC-CO-0026,Dunlap v. Zavaras,Prison Conditions,Yes,4,14207,13818,13845
train,IM-NY-0008,Yakubova v. Chertoff,Immigration and/or the Border ,Yes,8,55612,53416,53462
train,JC-CA-0108,Prison Legal News v. County of Ventura,Jail Conditions,No,5,35075,34549,34560
train,NS-NY-0001,Hedges v. Obama,National Security,No,17,120776,118218,118327
train,CJ-CA-0022,"Edwards v. Leaders in Community Alternatives, Inc.",Criminal Justice (Other),Yes,5,38861,37911,37916
train,EE-TX-0364,EEOC v. THE VISION CENTER,Equal Employment,No,6,11426,11350,11350
train,NS-NY-0016,The New York Times Company v. National Security Agency,National Security,No,4,8370,8306,8312
train,IM-NY-0076,Basank v. Decker,Immigration and/or the Border ,No,9,17668,17168,17169
train,JC-GA-0033,"Prison Legal News v. Fulton County, GA",Jail Conditions,No,9,22172,21262,21270
train,CJ-WV-0001,Baxley v. Jividen,Criminal Justice (Other),Yes,29,194858,189397,189360
train,CJ-LA-0004,Levy v. Louisiana Department of Public Safety and Corrections,Criminal Justice (Other),Yes,5,16164,15800,15802
train,EE-FL-0001,"EEOC v. AEROMAR AIRLINES, INC.",Equal Employment,No,7,8359,8215,8217
train,PB-NY-0031,Rafferty v. Doar,Public Benefits / Government Services,Yes,7,26227,25391,25478
train,PC-MT-0010,Disability Rights Montana v. Batista,Prison Conditions,Yes,4,15736,15396,15394
train,CJ-FL-0007,Doe v. Miami-Dade County,Criminal Justice (Other),No,7,40701,40173,40189
train,PC-CA-0067,Sassman v. Brown,Prison Conditions,No,3,11519,11319,11325
train,EE-MO-0044,EEOC v. KREISLER DRUG NO.3 INC,Equal Employment,No,3,4028,4028,4031
train,JC-PA-0022,Moeller v. Bradford County,Jail Conditions,No,6,27171,27082,27087
train,PR-DC-0007,Lawyers' Committee for Civil Rights Under Law v. Presidential Advisory Commission on Election Integrity,Presidential/Gubernatorial Authority,No,5,42982,41962,41960
train,FH-DC-0008,National Community Reinvestment Coalition v. Novastar Financial,Fair Housing/Lending/Insurance,No,5,15053,14583,14587
train,EE-MO-0025,EEOC v. DaimlerChrysler Corporation,Equal Employment,No,6,9035,8975,8971
train,EE-TX-0371,EEOC v. TRL GROUP INC and TRILEGIANT CORP,Equal Employment,No,3,4138,4138,4145
train,PC-GA-0022,Andrews v. Allen,Prison Conditions,No,3,7343,7083,7080
train,IM-CA-0177,Darchini v. Pompeo,Immigration and/or the Border ,No,7,39606,38986,38992
train,NS-DC-0148,Leopold v. U.S. Department of Justice,National Security,No,15,48132,46822,46805
train,CJ-NE-0001,Doe v. Nebraska,Criminal Justice (Other),No,10,151603,150359,150403
train,MH-DC-0002,U.S. v. District of Columbia,Mental Health (Facility),No,6,34250,33610,33599
train,EE-SD-0006,"Sami Martinez v. North Central Supply, Inc.",Equal Employment,No,5,7318,7318,7320
train,JC-PA-0035,Seitz v. Allegheny County,Jail Conditions,Yes,4,15608,14922,14881
train,FA-CA-0012,Friedrichs v. California Teachers Association,Speech and Religious Freedom,No,4,75647,73517,73547
train,EE-DC-0067,Mills v. Billington,Equal Employment,Yes,18,86240,84220,84261
train,CJ-ID-0002,Bell v. City of Boise,Criminal Justice (Other),No,14,125199,123171,123195
train,ID-IL-0002,U.S. v. Illinois,Intellectual Disability (Facility),Yes,7,16446,16406,16415
train,EE-ID-0011,EEOC v. HALL-COPELAND FORD,Equal Employment,No,3,3513,3493,3495
train,EE-FL-0110,EEOC v. SIX L'S PACKING CO.,Equal Employment,No,6,8964,8609,8622
train,EE-MD-0072,EEOC v. LOCKHEED MARTIN GLOBAL TELECOMMUNIC,Equal Employment,No,9,22387,22187,22203
train,FA-NY-0003,Roman Catholic Archdiocese of New York v. Sebelius,Speech and Religious Freedom,No,12,89928,89114,89075
train,EE-LA-0041,EEOC v. JAMAL & KAMAL INC (d/b/a IHOP),Equal Employment,No,5,8946,8946,8945
train,FH-MI-0005,United States v. Edward Rose & Sons,Fair Housing/Lending/Insurance,No,2,30392,30392,30403
train,EE-CA-0300,SOLIS LARA v. ASSI SUPER,Equal Employment,Yes,3,24034,23469,23481
